Business Name,River(s),Type,Website,Contact Method,Contact Info,Status,Date Reached Out,Follow-Up Date,Notes
,,,,,,,,
"Example: Akers Ferry Canoe Rental",Current River,Outfitter,https://example.com,Email,info@example.com,Not Contacted,,,Runs trips on upper Current
,,,,,,,,
OUTFITTERS & CANOE RENTALS,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
CAMPGROUNDS,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
TOURISM BOARDS & ASSOCIATIONS,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BLOGS & SOCIAL MEDIA,,,,,,,,
,,,,,,,,
,,,,,,,,
